id_pedido,fecha,id_cliente,edad_cliente,categoria_producto,canal_venta,region,metodo_pago,precio_unitario,cantidad,descuento_pct,dias_entrega,rating,devuelto,monto_total
PED-10477,2024-07-08,1515,46.0,Indumentaria,Marketplace,CABA,tarjeta de crédito,39528.73,1,10,3.0,5.0,0,35575.86
PED-14242,2024-06-30,1889,52.0,Belleza,marketplace,Otras,Efectivo,14025.29,2,10,2.0,5.0,0,25245.52
PED-11543,2025-05-03,2131,38.0,electrónica,Web,Otras,Tarjeta de crédito,154040.71,2,0,4.0,3.0,0,308081.42
PED-14034,2025-03-04,2465,30.0,Indumentaria,APP,Córdoba,Efectivo,17537.6,2,0,7.0,3.0,0,35075.2
PED-11564,2024-10-17,2240,33.0,Juguetes, Web ,CABA,Efectivo,17385.43,4,0,8.0,3.0,0,69541.72
PED-12338,2025-03-06,2377,24.0,Juguetes,Web,GBA,TARJETA DE CRÉDITO,15541.8,2,0,5.0,4.0,0,31083.6
PED-14975,16/04/2025,2427,44.0,Indumentaria,Web,GBA,MercadoPago,13074.78,1,10,2.0,3.0,0,11767.3
PED-11286,2025-01-16,2223,57.0,Electrónica,Web,Santa Fe,Tarjeta de débito,199571.41,1,20,7.0,5.0,0,159657.13
PED-13046,2024-06-01,1505,49.0,Belleza, Web ,Otras,Tarjeta de débito,12473.33,1,5,1.0,2.0,0,11849.66
PED-11384,2024-01-14,1275,45.0, Electrónica ,Web,GBA,Tarjeta de crédito,196150.74,1,25,4.0,5.0,0,147113.06
PED-10714,2024-01-04,2015,23.0,Indumentaria,App,Otras,Tarjeta de crédito,20571.71,1,0,7.0,5.0,0,20571.71
PED-11568,2024-03-25,2614,39.0,Indumentaria, Marketplace ,Córdoba,Transferencia,34159.51,2,0,4.0,3.0,0,68319.02
PED-11518,2025-05-09,2086,37.0,Hogar,Marketplace,CABA,efectivo,21131.47,1,15,2.0,4.0,0,17961.75
PED-11547,08/05/2025,2782,44.0,Indumentaria,App,Córdoba,Tarjeta de crédito,37893.16,1,0,2.0,4.0,0,37893.16
PED-14281,2025-06-07,1682,40.0, Indumentaria ,MARKETPLACE,Santa Fe,Efectivo,24767.45,2,5,7.0,5.0,0,47058.16
PED-11909,2024-11-24,2474,22.0,Belleza,Web,OTRAS,Tarjeta de crédito,20661.14,2,0,5.0,5.0,0,41322.28
PED-12638,2024-03-23,1601,36.0,Juguetes,WEB,otras,Transferencia,21501.92,1,10,4.0,5.0,0,19351.73
PED-10588,2024-11-03,2506,37.0,Hogar,Web,SANTA FE,Tarjeta de crédito,58032.51,2,5,2.0,5.0,0,110261.77
PED-13516,24/04/2025,1884,29.0,Indumentaria,App,CABA,Tarjeta de crédito,11188.78,5,0,5.0,5.0,0,55943.9
PED-10249,2024-06-06,2718,42.0,Belleza,WEB,Otras,Tarjeta de débito,16901.91,1,15,2.0,3.0,0,14366.62
PED-13930,2024-09-06,1273,44.0,Belleza, Web ,Córdoba,MercadoPago,9122.35,1,0,4.0,4.0,0,9122.35
PED-14658,2024-05-06,1352,44.0,Belleza,Marketplace,Mendoza,Transferencia,24102.71,1,15,3.0,5.0,1,20487.3
PED-14189,2024-10-14,2685,30.0,Indumentaria,App,caba,Transferencia,38459.55,2,15,4.0,4.0,0,65381.24
PED-10644,2024-01-08,1398,23.0,deportes, Web ,otras,Efectivo,32163.3,1,0,5.0,4.0,0,32163.3
PED-14712,2024-06-16,1011,37.0,Deportes,Web,GBA,Transferencia,56083.06,2,0,4.0,2.0,0,112166.12
PED-10191,2024-01-02,1130,37.0,Hogar,App,Otras,transferencia,43674.93,1,5,1.0,5.0,0,41491.18
PED-14621,18/11/2024,1828,22.0,Electrónica,MARKETPLACE,Otras, MercadoPago ,197680.8,2,0,7.0,2.0,0,395361.6
PED-14903,26/12/2024,2497,25.0,Hogar,APP,GBA,MercadoPago,44640.78,1,0,1.0,,1,44640.78
PED-13739,2024-07-05,1172,53.0,Indumentaria,Web,Santa Fe,Efectivo,30007.17,1,0,4.0,4.0,0,30007.17
PED-13772,2024-09-11,2523,62.0, Belleza ,Web,GBA,MercadoPago,12899.51,1,0,8.0,,0,12899.51
PED-11885,27/05/2024,1089,35.0,hogar,App,CABA,Tarjeta de crédito,26396.16,1,0,11.0,,1,26396.16
PED-11004,2024-08-14,2066,56.0,Indumentaria,app,Santa Fe,efectivo,26070.36,1,0,3.0,5.0,0,26070.36
PED-10763,2024-03-18,1114,48.0,Hogar,Web,CABA,MercadoPago,43749.83,1,10,3.0,5.0,0,39374.85
PED-13544,2025-04-24,2202,18.0,Belleza,App,GBA,MercadoPago,11706.16,2,15,7.0,1.0,0,19900.47
PED-14624,2025-05-01,1498,39.0,deportes,WEB,,Tarjeta de crédito,28716.15,1,0,4.0,4.0,0,28716.15
PED-14629,2024-04-27,1933,29.0,Deportes,WEB,Mendoza,Tarjeta de crédito,46692.55,1,0,4.0,5.0,0,46692.55
PED-14714,2024-12-20,2259,40.0,HOGAR,App,Mendoza,Tarjeta de débito,29202.32,1,20,5.0,4.0,0,23361.86
PED-11270,2025-04-26,1629,37.0, Belleza ,Web,GBA,Transferencia,5087.06,1,0,3.0,2.0,0,5087.06
PED-12962,2024-09-12,1486,41.0,Indumentaria,Web,OTRAS,Tarjeta de crédito,20238.6,1,10,2.0,,0,18214.74
PED-11369,2024-03-24,2304,45.0,Deportes,web,GBA,Transferencia,56486.8,1,0,1.0,5.0,0,56486.8
PED-10909,2025-04-20,1497,31.0,Electrónica,Web,CABA,Tarjeta de crédito,251974.38,1,0,5.0,4.0,0,251974.38
PED-10827,2024-12-21,2670,52.0, Electrónica ,Web,CABA,TRANSFERENCIA,256386.03,2,25,2.0,2.0,0,384579.04
PED-12890,2024-09-08,1236,18.0,Deportes, Web ,gba,Tarjeta de crédito,47735.79,2,0,5.0,5.0,0,95471.58
PED-13586,2025-04-12,1906,42.0,ELECTRÓNICA,Web,Santa Fe,Tarjeta de crédito,164462.83,1,25,7.0,4.0,0,123347.12
PED-12455,2025-01-09,2206,59.0,Electrónica,Web,CABA,MERCADOPAGO,122811.15,1,5,4.0,2.0,0,116670.59
PED-14069,2025-01-10,1755,42.0,Electrónica,Marketplace,Santa Fe,Tarjeta de crédito,175111.52,1,0,1.0,5.0,0,175111.52
PED-12892,21/03/2025,1929,38.0,Indumentaria,Web,Santa Fe,efectivo,15241.71,2,0,5.0,,0,30483.42
PED-11725,2024-12-26,1914,43.0,Hogar,Web,Santa Fe,Tarjeta de débito,-38315.78,1,0,1.0,5.0,0,38315.78
PED-14077,2025-05-18,1160,39.0, Belleza ,App,GBA, Tarjeta de débito ,11757.22,1,0,2.0,4.0,0,11757.22
PED-13558,2025-04-06,1253,47.0,Indumentaria,Marketplace,CABA,Tarjeta de débito,25985.92,2,0,4.0,4.0,0,51971.84
PED-13172,2025-05-28,2042,28.0,Electrónica,Marketplace,OTRAS,tarjeta de crédito,99194.95,1,0,7.0,5.0,0,99194.95
PED-10288,2025-05-26,1417,,Electrónica,Web,CABA,Tarjeta de crédito,246693.0,1,0,6.0,5.0,0,246693.0
PED-13271,2025-05-04,1182,60.0,hogar,Web,CABA,Tarjeta de débito,59657.24,2,0,,5.0,0,119314.48
PED-13137,2024-07-15,1021,23.0,Deportes,Web,GBA,tarjeta de crédito,47308.99,5,0,8.0,4.0,0,236544.95
PED-14699,2024-06-25,2319,36.0,Hogar,App, GBA ,Tarjeta de crédito,34640.07,1,0,3.0,5.0,0,34640.07
PED-14893,2024-01-24,2424,21.0,Electrónica,App,Otras,MercadoPago,287458.33,1,10,3.0,5.0,0,258712.5
PED-13534,2024-03-17,1349,29.0,BELLEZA,Web,CABA,TRANSFERENCIA,7995.91,1,10,3.0,5.0,1,7196.32
PED-11502,2025-05-09,1671,37.0,Indumentaria,App,Otras,Tarjeta de débito,33285.42,1,5,4.0,5.0,1,31621.15
PED-10868,11/10/2024,2417,57.0,indumentaria,App,CABA,Tarjeta de crédito,23551.21,1,5,5.0,4.0,0,22373.65
PED-12258,2025-03-29,2204,24.0,Indumentaria,web,Santa Fe,Tarjeta de crédito,30903.38,1,20,,5.0,0,24722.7
PED-10756,2024-12-14,1439,41.0,Indumentaria,WEB,GBA,Tarjeta de crédito,30812.27,1,20,5.0,3.0,0,24649.82
PED-13856,2024-01-06,1788,71.0,Electrónica,App,CABA,,180743.25,1,0,5.0,5.0,0,180743.25
PED-12120,2024-01-21,1212,51.0,Indumentaria,Web,caba, MercadoPago ,33233.0,1,0,4.0,4.0,1,33233.0
PED-12287,2025-02-27,1073,35.0,Electrónica,App,GBA,TARJETA DE CRÉDITO,114785.58,1,0,6.0,3.0,0,114785.58
PED-11233,2025-03-23,2140,21.0,Indumentaria,Web,Mendoza,Tarjeta de débito,31430.29,1,10,4.0,5.0,0,28287.26
PED-14197,2025-05-04,2582,41.0,juguetes,Marketplace,Córdoba,Tarjeta de débito,13118.52,1,10,1.0,4.0,0,11806.67
PED-12988,2024-10-09,1035,42.0,Electrónica,Marketplace,santa fe,Tarjeta de débito,150480.69,2,15,8.0,5.0,0,255817.17
PED-10154,12/08/2024,1663,43.0,Deportes,Web,CABA,Tarjeta de crédito,41623.2,1,5,5.0,5.0,0,39542.04
PED-14051,2024-07-15,2792,37.0,Indumentaria,App,CABA,Tarjeta de crédito,26325.89,3,0,4.0,5.0,0,78977.67
PED-14910,2024-03-19,1312,18.0,Indumentaria,web,GBA,Tarjeta de débito,20842.7,1,0,8.0,5.0,0,20842.7
PED-10705,2024-08-30,2622,51.0,Juguetes,Web,OTRAS,Tarjeta de crédito,13641.76,2,0,4.0,5.0,0,27283.52
PED-13396,2024-11-09,2541,34.0,Juguetes,Marketplace, GBA ,Efectivo,13762.9,1,0,3.0,5.0,0,13762.9
PED-12764,2024-08-22,1637,,electrónica,APP,,Tarjeta de débito,126415.8,2,15,4.0,4.0,0,214906.86
PED-14377,2025-03-10,1075,30.0,Belleza,Web,gba,TARJETA DE CRÉDITO,9541.55,2,0,6.0,4.0,0,19083.1
PED-13108,10/01/2025,1111,51.0,Electrónica,Web,CABA,MercadoPago,251907.33,2,0,3.0,,0,503814.66
PED-10412,2025-01-01,2054,28.0,Indumentaria,App,Santa Fe,Tarjeta de débito,20294.86,1,0,2.0,5.0,0,20294.86
PED-11812,2025-01-14,1427,24.0,Hogar, Web ,Mendoza,TARJETA DE CRÉDITO,33037.59,2,0,3.0,4.0,0,66075.18
PED-13293,2024-09-12,2194,52.0,Indumentaria,App,GBA,tarjeta de crédito,25974.19,1,20,7.0,4.0,0,20779.35
PED-14803,2025-01-09,1343,38.0,Indumentaria,App,Córdoba,Tarjeta de débito,32760.85,1,15,8.0,5.0,0,27846.72
PED-12779,2024-01-17,1211,28.0,Indumentaria,Web, CABA ,transferencia,11731.89,2,0,6.0,,0,23463.78
PED-10726,2024-04-27,1399,36.0,Belleza,Web,GBA,Tarjeta de crédito,17992.71,1,0,2.0,5.0,0,17992.71
PED-10811,04/04/2024,1478,28.0,Indumentaria,App,Otras,Tarjeta de débito,19067.17,2,5,,5.0,0,36227.62
PED-12017,20/01/2024,1902,47.0,Belleza,App,CÓRDOBA,Transferencia,13825.76,1,5,5.0,5.0,0,13134.47
PED-12434,2024-10-22,2551,20.0,DEPORTES,App,CABA,TARJETA DE CRÉDITO,31923.02,1,5,4.0,4.0,0,30326.87
PED-12176,2024-06-26,1860,25.0,Indumentaria,Marketplace,otras,Tarjeta de crédito,24641.13,1,0,7.0,3.0,0,24641.13
PED-10346,2024-09-10,1446,,Deportes,App,Santa Fe,Tarjeta de crédito,46888.92,72,10,4.0,5.0,0,126600.08
PED-11862,2024-04-06,2448,34.0,indumentaria,App,CABA,MercadoPago,20267.39,4,0,6.0,5.0,0,81069.56
PED-13369,2024-05-16,1289,21.0,Indumentaria,App,otras,MERCADOPAGO,33616.31,1,0,2.0,,0,33616.31
PED-11839,2024-12-03,2135,51.0,INDUMENTARIA, Web ,CABA,,20910.01,1,5,5.0,5.0,0,19864.51
PED-11904,2025-01-02,2337,24.0,Hogar,App,Otras,MercadoPago,23665.06,4,20,5.0,4.0,0,75728.19
PED-12457,2024-01-30,1949,37.0,Electrónica,App,CABA,Tarjeta de crédito,209883.73,1,0,4.0,5.0,0,209883.73
PED-11283,2024-01-22,1964,39.0,belleza,marketplace,GBA,Tarjeta de crédito,11370.79,1,15,3.0,4.0,0,9665.17
PED-14127,2025-06-13,1668,20.0,HOGAR,App,CABA,MERCADOPAGO,26060.71,1,0,5.0,5.0,0,26060.71
PED-13471,2024-07-29,1779,60.0,Hogar,Marketplace,Santa Fe,Transferencia,49383.02,1,0,9.0,4.0,0,49383.02
PED-12684,11/02/2025,1965,47.0,ELECTRÓNICA,WEB,Córdoba,Tarjeta de crédito,244522.23,1,0,5.0,4.0,0,244522.23
PED-11027,2024-03-01,1344,20.0,Electrónica,web,Córdoba,Tarjeta de débito,183493.56,1,15,6.0,4.0,0,155969.53
PED-10777,2025-05-17,1868,21.0,hogar,Web,GBA,Tarjeta de crédito,21900.88,2,0,8.0,5.0,0,43801.76
PED-12704,2025-01-24,1115,34.0,Belleza,App,GBA,Transferencia,13463.68,2,0,,,0,26927.36
PED-12152,2024-10-20,1859,49.0,Electrónica,Web,GBA,Tarjeta de crédito,105665.42,4,0,5.0,5.0,0,422661.68
PED-10193,10/09/2024,2014,18.0,Belleza,WEB,CÓRDOBA,TRANSFERENCIA,15040.3,1,10,8.0,4.0,0,13536.27
PED-13928,2024-10-20,2442,35.0,Electrónica,App,caba,efectivo,161191.67,1,0,8.0,5.0,0,161191.67
PED-12628,2024-09-21,2165,42.0,Juguetes,APP,GBA,tarjeta de débito,11279.19,1,15,7.0,5.0,1,9587.31
PED-13500,2025-01-05,1014,18.0,Hogar,WEB,CABA,MERCADOPAGO,58022.03,1,0,8.0,4.0,0,58022.03
PED-14479,12/06/2025,1278,,Deportes,App,Santa Fe,Tarjeta de débito,36072.78,1,0,12.0,2.0,0,36072.78
PED-10343,2025-03-07,1530,56.0,Indumentaria,Web,CABA,Tarjeta de crédito,21608.24,1,15,5.0,4.0,0,18367.0
PED-13791,23/11/2024,1751,18.0,Indumentaria,MARKETPLACE,CABA,Tarjeta de débito,19873.35,1,5,4.0,5.0,0,18879.68
PED-12971,2025-02-08,1371,28.0,indumentaria,app,,Tarjeta de crédito,14879.68,2,10,3.0,4.0,0,26783.42
PED-14698,2024-04-21,2723,55.0,DEPORTES, Web ,CABA,Transferencia,49233.19,1,0,1.0,5.0,0,49233.19
PED-12028,2024-09-29,1910,48.0,HOGAR,Web,GBA,Tarjeta de crédito,71026.14,2,0,6.0,5.0,0,142052.28
PED-11300,2025-05-06,2380,44.0,Indumentaria,web,CABA,Efectivo,16085.96,1,0,6.0,5.0,0,16085.96
PED-11562,2024-10-31,1071,41.0,Electrónica,Marketplace,CABA,Tarjeta de crédito,149791.02,3,0,4.0,,0,449373.06
PED-11597,08/05/2025,1057,44.0,Deportes,Web,GBA,MercadoPago,34717.25,2,0,8.0,4.0,0,69434.5
PED-12264,2025-03-17,1596,21.0,Electrónica,Marketplace,CABA,Tarjeta de crédito,158958.57,2,0,,1.0,0,317917.14
PED-11537,2024-03-09,2211,27.0,Belleza,web,Santa Fe,Tarjeta de crédito,13482.75,1,5,2.0,4.0,0,12808.61
PED-10992,2025-04-20,1091,41.0,Indumentaria,APP,Mendoza,Tarjeta de crédito,18212.63,3,0,5.0,5.0,1,54637.89
PED-10278,2024-06-24,1270,41.0,Indumentaria,Marketplace,santa fe,Tarjeta de débito,26811.0,5,15,3.0,3.0,0,113946.75
PED-13168,2025-01-21,2057,25.0,Belleza,WEB,GBA,tarjeta de crédito,9849.68,2,15,4.0,4.0,0,16744.46
PED-14284,2024-05-04,2566,35.0,BELLEZA,Marketplace,CABA, Tarjeta de débito ,9915.53,1,0,8.0,4.0,0,9915.53
PED-10114,2025-06-24,2703,37.0,Indumentaria,web,GBA,Tarjeta de crédito,16270.63,1,0,4.0,4.0,0,16270.63
PED-12162,10/01/2025,2152,40.0, Indumentaria ,Marketplace,Córdoba,Tarjeta de crédito,25987.68,1,0,4.0,5.0,0,25987.68
PED-14943,23/03/2025,2333,36.0,Juguetes,App,CÓRDOBA,Efectivo,8179.71,1,0,8.0,3.0,0,8179.71
PED-14208,2024-07-05,1566,37.0,Belleza,Web,GBA,Tarjeta de crédito,17322.02,1,0,6.0,5.0,0,17322.02
PED-14974,2025-04-08,1673,38.0,Hogar,App,GBA,Tarjeta de crédito,38042.86,2,0,7.0,4.0,0,76085.72
PED-12004,2024-01-12,2784,24.0,Indumentaria,App,Santa Fe,Tarjeta de débito,17630.47,2,10,5.0,5.0,0,31734.85
PED-12502,2024-08-21,2111,28.0,Indumentaria,Marketplace,Otras,Transferencia,34386.36,1,0,7.0,4.0,0,34386.36
PED-14499,2025-01-24,2142,21.0,Deportes,Web,CABA,Tarjeta de débito,2210.56,2,0,3.0,5.0,1,4421.12
PED-10243,2024-07-10,1137,,Hogar,Web, Santa Fe ,Transferencia,51887.85,1,15,4.0,5.0,0,44104.67
PED-11589,2024-05-03,1910,35.0,indumentaria,Web,CABA,Transferencia,34216.26,2,0,7.0,5.0,0,68432.52
PED-12190,2024-07-28,2699,20.0,Juguetes,App,CABA,Transferencia,19133.63,1,0,5.0,5.0,0,19133.63
PED-10171,2024-07-19,2333,37.0,Electrónica,App,GBA,Tarjeta de débito,235198.96,1,0,8.0,5.0,0,235198.96
PED-14456,16/05/2025,2620,47.0,Hogar,WEB,GBA,MercadoPago,55295.74,2,20,5.0,5.0,0,88473.18
PED-11435,2025-01-09,1639,64.0,INDUMENTARIA,Web, GBA ,Tarjeta de crédito,22528.58,1,25,6.0,5.0,0,16896.44
PED-12386,2024-12-09,1499,52.0,Electrónica,app,GBA,Tarjeta de débito,189666.61,3,0,6.0,5.0,0,568999.83
PED-14140,2024-10-09,1997,61.0,Electrónica,Web,Otras,Transferencia,180115.9,1,0,6.0,4.0,0,180115.9
PED-14777,2024-09-23,1815,36.0,Juguetes, Web ,GBA, Tarjeta de débito ,21172.13,1,0,7.0,5.0,0,21172.13
PED-12160,2024-03-08,2674,61.0,Belleza,,Mendoza,Efectivo,13648.37,1,0,1.0,5.0,0,13648.37
PED-11993,2024-01-10,1737,30.0,INDUMENTARIA,App,CÓRDOBA,Efectivo,34667.16,1,0,10.0,5.0,0,34667.16
PED-10576,2024-10-29,2388,32.0,Indumentaria,App,mendoza,Transferencia,32495.2,1,0,5.0,4.0,0,32495.2
PED-10613,25/12/2024,2241,18.0,Hogar,WEB, Mendoza ,TARJETA DE DÉBITO,68304.37,1,0,3.0,,0,68304.37
PED-12337,2024-12-08,1848,,Indumentaria,web,Santa Fe,Tarjeta de débito,30838.26,2,0,2.0,5.0,0,61676.52
PED-10121,2024-12-05,1256,45.0,Deportes,App,otras,TARJETA DE DÉBITO,19379.06,1,0,8.0,5.0,0,19379.06
PED-10227,2025-04-04,1456,59.0,Deportes,MARKETPLACE,SANTA FE,Transferencia,44637.35,1,0,6.0,4.0,0,44637.35
PED-12009,2025-01-11,1442,53.0,Hogar,MARKETPLACE,,Efectivo,31905.36,1,0,3.0,4.0,0,31905.36
PED-12390,2025-01-31,2230,23.0, Hogar ,App,CABA,Tarjeta de crédito,30038.69,1,0,5.0,5.0,0,30038.69
PED-11666,2024-04-11,2232,30.0,Deportes,app,CABA,Tarjeta de débito,21770.21,3,0,1.0,5.0,0,65310.63
PED-13133,13/11/2024,2664,22.0,HOGAR,Marketplace,CABA,Tarjeta de crédito,50111.92,1,15,5.0,5.0,0,42595.13
PED-11303,2024-02-29,1218,40.0,indumentaria,app,otras,Efectivo,29994.98,1,0,5.0,2.0,0,29994.98
PED-14967,2024-06-09,2477,27.0,BELLEZA,APP,Otras,Tarjeta de crédito,13760.11,1,0,8.0,5.0,0,13760.11
PED-13641,2024-03-13,2019,26.0,electrónica, Web ,GBA,tarjeta de débito,168445.18,1,0,2.0,5.0,0,168445.18
PED-11593,2024-05-20,1557,24.0,Juguetes,Web,caba,MercadoPago,19814.83,1,10,6.0,4.0,0,17833.35
PED-11857,2025-01-27,2299,, Juguetes ,App,Córdoba,MercadoPago,18085.82,3,0,5.0,3.0,0,54257.46
PED-13793,2025-04-18,2268,18.0,Juguetes,Marketplace,GBA,tarjeta de crédito,18241.93,1,0,6.0,4.0,0,18241.93
PED-13700,2024-05-07,2469,49.0,Hogar, Web ,Mendoza,Tarjeta de crédito,38033.0,2,0,5.0,2.0,0,76066.0
PED-12241,2024-07-08,2674,18.0,Juguetes,Marketplace,CABA,Transferencia,24555.78,3,0,7.0,,0,73667.34
PED-11081,2024-04-07,1698,61.0,Belleza,App,GBA,EFECTIVO,19802.97,1,0,3.0,5.0,0,19802.97
PED-12948,2024-03-22,2464,53.0,indumentaria,Web,Otras,Transferencia,29839.43,1,20,7.0,5.0,0,23871.54
PED-12757,2025-06-23,2684,31.0,Indumentaria,Web,GBA,Transferencia,20069.48,1,0,2.0,4.0,0,20069.48
PED-11217,2025-01-28,1781,46.0,Juguetes,Marketplace,santa fe,Tarjeta de débito,15558.89,2,0,10.0,5.0,0,31117.78
PED-10431,2024-08-22,2050,26.0, Hogar ,web,CABA,Transferencia,47091.88,1,5,4.0,2.0,0,44737.29
PED-12947,2024-03-31,2164,32.0,Indumentaria,Web,CABA,,31442.99,2,10,5.0,5.0,1,56597.38
PED-14894,2024-02-19,1664,43.0,Belleza,Web,CABA,tarjeta de crédito,12447.78,3,10,4.0,4.0,0,33609.01
PED-13922,2025-01-12,2189,31.0,electrónica,Web,Mendoza,Tarjeta de crédito,50340.61,5,20,7.0,2.0,0,201362.44
PED-13493,2024-10-26,2240,57.0,Electrónica,Web,Santa Fe,Tarjeta de débito,116322.28,1,0,4.0,4.0,0,116322.28
PED-12695,2024-03-15,1666,21.0,Hogar,WEB,GBA,MercadoPago,67204.43,2,0,6.0,4.0,0,134408.86
PED-13812,2024-06-28,1158,34.0,Hogar,App,,Tarjeta de débito,31546.6,5,0,1.0,4.0,0,157733.0
PED-12260,2024-05-03,2337,51.0,Belleza,Marketplace,Otras, Transferencia ,14812.55,1,0,6.0,,0,14812.55
PED-10376,2024-03-30,1111,35.0,Indumentaria,App,Otras,Tarjeta de crédito,24229.16,3,0,4.0,5.0,0,72687.48
PED-10504,2024-09-15,2243,19.0,Indumentaria, Marketplace ,CABA, Tarjeta de crédito ,45524.21,1,0,7.0,1.0,0,45524.21
PED-14115,2024-04-08,2226,22.0,Belleza,App, Santa Fe ,TARJETA DE CRÉDITO,12042.63,1,0,6.0,4.0,0,12042.63
PED-10338,2024-04-03,1531,39.0,Deportes,App,CABA,TARJETA DE DÉBITO,43129.24,2,10,1.0,5.0,0,77632.63
PED-10019,2025-01-20,2410,20.0,Hogar,Marketplace,CABA,Tarjeta de débito,36343.73,1,0,5.0,5.0,0,36343.73
PED-10997,2024-01-29,1658,24.0,BELLEZA,Web,CABA,MercadoPago,15654.25,1,0,2.0,5.0,0,15654.25
PED-12308,2024-03-29,2411,18.0, Deportes ,Web,Otras,MercadoPago,39982.63,2,15,5.0,,0,67970.47
PED-14215,2024-10-28,1387,37.0,belleza,App,Mendoza,tarjeta de crédito,13052.09,1,0,5.0,3.0,0,13052.09
PED-10185,2024-05-30,2441,38.0,HOGAR,APP,Mendoza,TARJETA DE CRÉDITO,43527.43,2,15,6.0,5.0,0,73996.63
PED-11520,2024-06-23,2376,54.0,Juguetes,App,Santa Fe,MercadoPago,11454.17,1,0,2.0,4.0,0,11454.17
PED-10664,2024-07-10,1255,47.0,Indumentaria,Web,GBA,TARJETA DE CRÉDITO,30202.85,1,0,2.0,5.0,0,30202.85
PED-10865,2025-05-15,1046,39.0,Electrónica,Web,Mendoza,Transferencia,235362.19,5,0,7.0,5.0,0,1176810.95
PED-10735,25/05/2025,1623,50.0,Hogar,App,SANTA FE,EFECTIVO,47615.36,2,0,5.0,5.0,1,95230.72
PED-13185,2025-04-27,2397,30.0,Hogar,app,santa fe,Tarjeta de débito,26866.54,2,0,4.0,5.0,0,53733.08
PED-13113,2025-01-09,1465,39.0,Juguetes,App,CABA,Tarjeta de crédito,11575.93,1,0,5.0,5.0,0,11575.93
PED-14849,2024-07-07,1314,48.0,INDUMENTARIA,App,GBA,Tarjeta de débito,29233.75,1,0,7.0,5.0,0,29233.75
PED-13964,2024-09-03,1839,50.0,Hogar,Marketplace,CABA,Tarjeta de débito,64156.49,3,0,6.0,4.0,0,192469.47
PED-12794,2025-02-24,1675,52.0,Juguetes,APP,GBA,MercadoPago,13328.57,1,25,7.0,4.0,0,9996.43
PED-14527,2024-07-14,1339,36.0,ELECTRÓNICA,web,Santa Fe,Tarjeta de crédito,132516.94,1,5,2.0,,0,125891.09
PED-12437,2024-09-24,2626,40.0,ELECTRÓNICA,App,GBA,Tarjeta de débito,120918.81,1,25,1.0,5.0,0,90689.11
PED-10365,2024-09-24,1247,38.0, Indumentaria ,web,CABA,Efectivo,29329.3,1,0,4.0,4.0,0,29329.3
